,Instrument,Date,Total Equity
19804,VRSN.O,2001-12-31T00:00:00Z,6506074000.0
19805,VRSN.O,2002-12-31T00:00:00Z,1579425000.0
19806,VRSN.O,2003-12-31T00:00:00Z,1383653000.0
19807,VRSN.O,2004-12-31T00:00:00Z,1691997000.0
19808,VRSN.O,2005-12-31T00:00:00Z,2023442000.0
19809,VRSN.O,2006-12-31T00:00:00Z,2376860000.0
19810,VRSN.O,2007-12-31T00:00:00Z,1496599000.0
19811,VRSN.O,2008-12-31T00:00:00Z,469213000.0
19812,VRSN.O,2009-12-31T00:00:00Z,549741000.0
19813,VRSN.O,2010-12-31T00:00:00Z,676430000.0
19814,VRSN.O,2011-12-31T00:00:00Z,-88107000.0
19815,VRSN.O,2012-12-31T00:00:00Z,-9323000.0
19816,VRSN.O,2013-12-31T00:00:00Z,-423558000.0
19817,VRSN.O,2014-12-31T00:00:00Z,-883466000.0
19818,VRSN.O,2015-12-31T00:00:00Z,-1070447000.0
19819,VRSN.O,2016-12-31T00:00:00Z,-1200595000.0
19820,VRSN.O,2017-12-31T00:00:00Z,-1260271000.0
19821,VRSN.O,2018-12-31T00:00:00Z,-1385474000.0
19822,VRSN.O,2019-12-31T00:00:00Z,-1490100000.0
19823,VRSN.O,2020-12-31T00:00:00Z,-1390198000.0
19824,VRSK.O,2006-12-31T00:00:00Z,
19825,VRSK.O,2006-12-31T00:00:00Z,
19826,VRSK.O,2006-12-31T00:00:00Z,
19827,VRSK.O,2006-12-31T00:00:00Z,
19828,VRSK.O,2006-12-31T00:00:00Z,
19829,VRSK.O,2006-12-31T00:00:00Z,
19830,VRSK.O,2006-12-31T00:00:00Z,
19831,VRSK.O,2006-12-31T00:00:00Z,
19832,VRSK.O,2006-12-31T00:00:00Z,
19833,VRSK.O,2006-12-31T00:00:00Z,
19834,VRSK.O,2006-12-31T00:00:00Z,
19835,VRSK.O,2006-12-31T00:00:00Z,
19836,VRSK.O,2006-12-31T00:00:00Z,
19837,VRSK.O,2006-12-31T00:00:00Z,
19838,VRSK.O,2006-12-31T00:00:00Z,
19839,VRSK.O,2006-12-31T00:00:00Z,
19840,VRSK.O,2006-12-31T00:00:00Z,
19841,VRSK.O,2006-12-31T00:00:00Z,
19842,VRSK.O,2006-12-31T00:00:00Z,
19843,VRSK.O,2006-12-31T00:00:00Z,
19844,VRSK.O,2006-12-31T00:00:00Z,
19845,VRSK.O,2006-12-31T00:00:00Z,
19846,VRSK.O,2006-12-31T00:00:00Z,
19847,VRSK.O,2006-12-31T00:00:00Z,
19848,VRSK.O,2006-12-31T00:00:00Z,
19849,VRSK.O,2006-12-31T00:00:00Z,
19850,VRSK.O,2006-12-31T00:00:00Z,
19851,VRSK.O,2006-12-31T00:00:00Z,9576000.0
19852,VRSK.O,2007-12-31T00:00:00Z,-32160000.0
19853,VRSK.O,2007-12-31T00:00:00Z,-32160000.0
19854,VRSK.O,2008-12-31T00:00:00Z,-260284000.0
19855,VRSK.O,2009-12-31T00:00:00Z,-34949000.0
19856,VRSK.O,2010-12-31T00:00:00Z,-114442000.0
19857,VRSK.O,2011-12-31T00:00:00Z,-98490000.0
19858,VRSK.O,2012-12-31T00:00:00Z,255591000.0
19859,VRSK.O,2013-12-31T00:00:00Z,547589000.0
19860,VRSK.O,2014-12-31T00:00:00Z,211043000.0
19861,VRSK.O,2015-12-31T00:00:00Z,1372000000.0
19862,VRSK.O,2016-12-31T00:00:00Z,1332400000.0
19863,VRSK.O,2017-12-31T00:00:00Z,1925400000.0
19864,VRSK.O,2018-12-31T00:00:00Z,2070600000.0
19865,VRSK.O,2019-12-31T00:00:00Z,2260800000.0
19866,VRSK.O,2020-12-31T00:00:00Z,2698200000.0
19867,VRTX.O,1990-12-31T00:00:00Z,
