,Instrument,Date,Free Cash Flow
345,AFL,2018-12-31T00:00:00Z,2194000000.0
346,AFL,2019-12-31T00:00:00Z,2574000000.0
347,AFL,2020-12-31T00:00:00Z,4050000000.0
348,A,1996-10-31T00:00:00Z,
349,A,1996-10-31T00:00:00Z,
350,A,1996-10-31T00:00:00Z,
351,A,1996-10-31T00:00:00Z,
352,A,1996-10-31T00:00:00Z,
353,A,1996-10-31T00:00:00Z,
354,A,1996-10-31T00:00:00Z,
355,A,1996-10-31T00:00:00Z,
356,A,1996-10-31T00:00:00Z,
357,A,1996-10-31T00:00:00Z,
358,A,1996-10-31T00:00:00Z,
359,A,1996-10-31T00:00:00Z,
360,A,1996-10-31T00:00:00Z,
361,A,1996-10-31T00:00:00Z,
362,A,1996-10-31T00:00:00Z,
363,A,1996-10-31T00:00:00Z,
364,A,1996-10-31T00:00:00Z,
365,A,1996-10-31T00:00:00Z,384000000.0
366,A,1997-10-31T00:00:00Z,370000000.0
367,A,1997-10-31T00:00:00Z,370000000.0
368,A,1999-10-31T00:00:00Z,317000000.0
369,A,2000-10-31T00:00:00Z,329000000.0
370,A,2001-10-31T00:00:00Z,-553000000.0
371,A,2002-10-31T00:00:00Z,-588000000.0
372,A,2003-10-31T00:00:00Z,-1678000000.0
373,A,2004-10-31T00:00:00Z,163000000.0
374,A,2005-10-31T00:00:00Z,201000000.0
375,A,2006-10-31T00:00:00Z,516000000.0
376,A,2007-10-31T00:00:00Z,666000000.0
377,A,2008-10-31T00:00:00Z,718000000.0
378,A,2009-10-31T00:00:00Z,-2000000.0
379,A,2010-10-31T00:00:00Z,763000000.0
380,A,2011-10-31T00:00:00Z,1077000000.0
381,A,2012-10-31T00:00:00Z,1162000000.0
382,A,2013-10-31T00:00:00Z,246000000.0
383,A,2014-10-31T00:00:00Z,235000000.0
384,A,2015-10-31T00:00:00Z,461000000.0
385,A,2016-10-31T00:00:00Z,420000000.0
386,A,2017-10-31T00:00:00Z,552000000.0
387,A,2018-10-31T00:00:00Z,712000000.0
388,A,2019-10-31T00:00:00Z,948000000.0
389,A,2020-10-31T00:00:00Z,686000000.0
390,A,2021-10-31T00:00:00Z,1106000000.0
391,APD,1986-09-30T00:00:00Z,
392,APD,1986-09-30T00:00:00Z,
393,APD,1986-09-30T00:00:00Z,
394,APD,1986-09-30T00:00:00Z,
395,APD,1986-09-30T00:00:00Z,
396,APD,1986-09-30T00:00:00Z,
397,APD,1986-09-30T00:00:00Z,
398,APD,1986-09-30T00:00:00Z,-87801000.0
399,APD,1987-09-30T00:00:00Z,38630000.0
400,APD,1988-09-30T00:00:00Z,24147000.0
401,APD,1989-09-30T00:00:00Z,20337000.0
402,APD,1990-09-30T00:00:00Z,-11100000.0
403,APD,1991-09-30T00:00:00Z,-22400000.0
404,APD,1992-09-30T00:00:00Z,96400000.0
405,APD,1993-09-30T00:00:00Z,-45600000.0
406,APD,1994-09-30T00:00:00Z,-132600000.0
407,APD,1995-09-30T00:00:00Z,-227300000.0
408,APD,1996-09-30T00:00:00Z,-228900000.0
409,APD,1997-09-30T00:00:00Z,-90300000.0
410,APD,1998-09-30T00:00:00Z,148400000.0
411,APD,1999-09-30T00:00:00Z,-23700000.0
412,APD,2000-09-30T00:00:00Z,-184200000.0
413,APD,2001-09-30T00:00:00Z,178700000.0
414,APD,2002-09-30T00:00:00Z,331600000.0
415,APD,2003-09-30T00:00:00Z,271500000.0
416,APD,2004-09-30T00:00:00Z,421000000.0
417,APD,2005-09-30T00:00:00Z,233500000.0
418,APD,2006-09-30T00:00:00Z,-44600000.0
